_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
31,2024,12500,232001,91003,Impuesto s/ depósito de residuos en vertederos,"12.000.000,00",,"12.000.000,00",,
32,2024,12500,234000,91003,S/ aprovechamiento hidroeléctrico,"17.045.460,00",,"17.045.460,00",,
33,2024,12500,235000,91003,S/ líneas de alta tensión,"2.016.000,00",,"2.016.000,00",,
34,2024,12500,236000,91003,S/Explotación parques eólicos,"12.000.000,00",,"12.000.000,00",,
35,2024,12500,237000,91003,S/Explotación parques fotovoltaicos,"8.000.000,00",,"8.000.000,00",,
36,2024,12500,240000,91003,Casinos,"300.000,00",,"300.000,00",,
37,2024,12500,240001,91003,Bingos,"5.000.000,00",,"5.000.000,00",,
38,2024,12500,240002,91003,Máquinas recreativas,"15.000.000,00",,"15.000.000,00",,
39,2024,12500,240003,91003,"Loterías,rifas,boletos y combinaciones aleatorias","1.900.000,00",,"1.900.000,00",,
40,2024,12500,240004,91003,Bingo Electrónico,"500.000,00",,"500.000,00",,
41,2024,12500,250000,91003,Impuesto s/ actividades de juego,"3.500.000,00",,"3.500.000,00",,
42,2024,12500,300050,91003,Venta de Bienes de Cortes de Aragón,"23.800,00",,"23.800,00","15.450,00","15.450,00"
43,2024,12500,300100,91003,Venta de Bienes de Departamentos y Org. Públicos,,,,"534,81","534,81"
44,2024,12500,301006,91003,"Venta de Public de Educ., U., C. y Deporte (No ope",,,,"3.400,10","109,02"
45,2024,12500,301050,91003,Venta de Publicac. de Cortes de Aragón,"6.000,00",,"6.000,00","4.000,00","4.000,00"
46,2024,12500,301100,91003,Venta de Publicaciones Departamentos y Org. Públic,"6.000,00",,"6.000,00",,
47,2024,12500,302000,91003,Venta de cartones de bingo,"160.000,00",,"160.000,00",,
48,2024,12500,303000,91003,Venta de impresos,500,,500,"-352,62","-352,62"
49,2024,12500,310050,91003,Entradas Cortes de Aragón,"372.000,00",,"372.000,00","243.000,00","243.000,00"
50,2024,12500,319005,91003,"Prestación Serv. de Sanidad, B. Social y Familia",,,,"8.189,84","8.189,84"
51,2024,12500,319006,91003,"Prestación Serv. de Educ., Cult. y Dpte","1.945.000,00",,"1.945.000,00","1.487.557,24","1.197.462,20"
52,2024,12500,319103,91003,Prestación de servicios en guarderías,"1.188.000,00",,"1.188.000,00","1.031.873,71","921.105,17"
53,2024,12500,319111,91003,Cuotas alumnos Inst. Formación Agroambiental,,,,"1.945,20","1.945,20"
54,2024,12500,319118,91003,Prestación Servicios RACI,"17.300,00",,"17.300,00",,
55,2024,12500,319200,91003,Prestación Servicios - Copagos,"14.000,00",,"14.000,00",,
56,2024,12500,319201,91003,"Prest Serv - Asesoramiento Jurídico EP, Fund y Con","243.000,00",,"243.000,00","267.228,33","254.804,73"
57,2024,12500,319321,91003,Transporte Sanitario por Helicóptero,"400.000,00",,"400.000,00","332.340,43","240.331,43"
58,2024,12500,319324,91003,Prestación del servicio de comedor,"19.133.000,00",,"19.133.000,00","1.772.275,00","1.508.474,06"
59,2024,12500,329001,91003,Tasa 01- Dirección e inspección de obras,"1.677.649,26",,"1.677.649,26","2.499.695,26","1.805.629,83"
60,2024,12500,329003,91003,"Tasa 03- Serv.admvos, redacc. informes,activ. fac.","136.276,72",,"136.276,72","266.423,86","250.319,03"
61,2024,12500,329004,91003,Tasa 04- Por Autorizacones Espectáculos Públicos,"42.000,00",,"42.000,00","39.015,81","39.015,81"
62,2024,12500,329005,91003,Tasa 05-S. Mat. orde. transp. terr carretera,"1.200.000,00",,"1.200.000,00","1.165.964,25","1.165.964,25"
63,2024,12500,329008,91003,Tasa 08-Ocup. terrenos o uso Bienes Dominio Públic,,,,"80.173,14","59.718,37"
64,2024,12500,329010,91003,Tasa 10-S. facultativos agronómicos,"11.800,00",,"11.800,00","254.462,82","254.462,82"
65,2024,12500,329011,91003,Tasa 11-Servicios  facultativos veterinarios,"850.000,00",,"850.000,00","810.351,87","810.351,87"
66,2024,12500,329012,91003,Tasa 12-Ins. y ctroles sanitarios  anim y sus prod,"3.500.000,00",,"3.500.000,00","1.515.570,81","1.515.506,23"
67,2024,12500,329013,91003,"Tasa 13-Aut., Inspec., materia centros sanitarios","1.200.000,00",,"1.200.000,00","948.196,86","948.196,86"
68,2024,12500,329014,91003,Tasa 14-Ord. activ. indust. energ. metrol. mineras,"3.200.000,00",,"3.200.000,00","2.892.554,34","2.783.479,35"
69,2024,12500,329015,91003,Tasa 15-Serv. exped. titulos académicos y profesio,"600.000,00",,"600.000,00","717.380,22","717.380,22"
70,2024,12500,329016,91003,Tasa 16-Expedición licencias caza y pesca,"27.500,00",,"27.500,00","28.983,12","28.983,12"
71,2024,12500,329017,91003,"Tasa 17-S. facul. montes, forestales y v. pecuaria","520.000,00",,"520.000,00","597.930,55","529.589,30"
72,2024,12500,329019,91003,Tasa 19-S. Adtvod y Técnicos de juego,"650.000,00",,"650.000,00","688.139,90","688.139,90"
73,2024,12500,329020,91003,"Tasa 20-Aut, Insp y actu. cen y est. farmaceúticos","40.000,00",,"40.000,00","51.952,18","51.952,18"
74,2024,12500,329021,91003,Tasa 21-Aut. Insp. centros Servicios Sociales,"30.000,00",,"30.000,00","18.278,17","18.278,17"
75,2024,12500,329022,91003,Tasa 22-Inserción anuncios en el BOA,"500.000,00",,"500.000,00","1.209.648,19","1.209.648,19"
76,2024,12500,329023,91003,"Tasa 23-Inscripción y Publicidad Asoc,Fun,CP y CCA","58.000,00",,"58.000,00","71.568,07","71.568,07"
77,2024,12500,329024,91003,Tasa 24-Derechos Examen pruebas selectiva C.Aut.,"450.000,00",,"450.000,00","705.155,08","705.155,08"
78,2024,12500,329025,91003,Tasa 25-S. Registro Territorial P.Intelectual de A,"9.000,00",,"9.000,00","7.989,13","7.901,23"
79,2024,12500,329028,91003,Tasa 28-Tasa ser.adm. protección del medio ambient,,,,"146,02","146,02"
80,2024,12500,329030,91003,Tasa 30-Tasa inscripción Reg. de org. modif. genét,"1.200,00",,"1.200,00","1.694,03","1.694,03"
81,2024,12500,329032,91003,Tasa 32-Tasa act. serv. radiodifusión y televisión,"1.500,00",,"1.500,00","1.671,60","1.671,60"
82,2024,12500,329033,91003,Tasa 33-Tasa por ocup. v.pecuar. y conc.uso dom.p.,,,,"688.683,78","594.023,51"
83,2024,12500,329037,91003,Tasa 37-Tasa dchos. de exam. pruebas de acceso FP,"120.000,00",,"120.000,00","221.309,89","221.309,89"
84,2024,12500,329038,91003,Tasa 38- S. admtvos diligencias bastanteo de poder,"6.100,00",,"6.100,00","6.640,00","6.640,00"
85,2024,12500,329039,91003,Tasa39-Insc pruebas obt. tit. postobligatorios,"60.000,00",,"60.000,00","45.390,84","45.390,84"
86,2024,12500,329040,91003,Tasa 40-Tasa s. adm actuaciones gestión tributaria,,,,"251.333,81","251.333,81"
87,2024,12500,329042,91003,Tasa 42 - Análisis e Informes del Lab. Salud Públi,"20.000,00",,"20.000,00","16.123,95","16.123,95"
88,2024,12500,329043,91003,Tasa 43- Inscripción Cooperativas y Sdes. Laboral,"7.400,00",,"7.400,00","8.428,40","8.428,40"
89,2024,12500,329044,91003,Tasa 44- Autorización Agencias de Colocación,"17.700,00",,"17.700,00","24.341,62","24.341,62"
90,2024,12500,329045,91003,Tasa 45- Inscripción Centros Colaboradores,"83.000,00",,"83.000,00","118.053,62","118.053,62"
91,2024,12500,329046,91003,Tasa 46- Serv. prestados Reg. Cooperativas Aragón,"19.000,00",,"19.000,00","18.568,07","18.568,07"
92,2024,12500,329047,91003,Tasa 47- Serv. prestados Reg. adm. Sociedades Lab.,"1.300,00",,"1.300,00","595,08","595,08"
93,2024,12500,329048,72013,Tasa 48- Ocupación o Concesión del uso privativo,,,,"326.982,83","309.910,87"
94,2024,12500,329050,91003,Tasa 50.-Prestación servicios Admts. materia turís,"137.500,00",,"137.500,00","147.797,98","147.797,98"
95,2024,12500,329051,91003,Tasa 51.-Tramitac.Expropiac.Ocupac.servidum.regadi,,,,"3.245,00","3.245,00"
96,2024,12500,330000,91003,Precios Públicos del Laboratorio Agroalimentario,"75.000,00",,"75.000,00","76.645,72","75.209,87"
97,2024,12500,330001,91003,Precios Públicos del C. Transferencia Agroalimenta,,,,48,
98,2024,12500,330004,91003,Precios Públicos del Laboratorio Calidad Edificaci,,,,"18.697,54","15.357,04"
99,2024,12500,330005,91003,Precios Públicos en materia de deportes,"68.000,00",,"68.000,00","11.113,54","10.709,41"
100,2024,12500,330006,91003,Instalaciones deportivas,"50.000,00",,"50.000,00","69.772,40","69.772,40"
101,2024,12500,330007,91003,Actividades Deportivas,"4.200,00",,"4.200,00","3.528,30","3.528,30"
102,2024,12500,330012,91003,Precios Públicos de Caza y Pesca,"245.000,00",,"245.000,00",,
103,2024,12500,330013,91003,Precios Públicos Medicina Legal de Aragón (IMLA),"30.000,00",,"30.000,00","12.130,00","9.410,00"
104,2024,12500,330015,91003,Precio Público IAEST,"3.000,00",,"3.000,00",,
105,2024,12500,380000,32200,Reintegros ej.cerrados de Presidencia y Justicia,,,,"36.679,41","36.679,41"
106,2024,12500,380000,32219,Reintegros ej.cerrados de Presidencia y Justicia,,,,"867,64","867,64"
107,2024,12500,380000,32220,Reintegros ej.cerrados de Presidencia y Justicia,,,,"178.418,05","178.418,05"
108,2024,12500,380000,32221,Reintegros ej.cerrados de Presidencia y Justicia,,,,"88.920,15","88.920,15"
109,2024,12500,380000,32222,Reintegros ej.cerrados de Presidencia y Justicia,,,,"80.000,00","80.000,00"
110,2024,12500,380000,91003,Reintegros ej.cerrados de Presidencia y Justicia,,,,"19.273,88","19.273,88"
111,2024,12500,380000,91219,Reintegros ej.cerrados de Presidencia y Justicia,,,,"867,2","867,2"
112,2024,12500,380000,91220,Reintegros ej.cerrados de Presidencia y Justicia,,,,"178.417,55","178.417,55"
113,2024,12500,380000,91221,Reintegros ej.cerrados de Presidencia y Justicia,,,,"88.920,15","88.920,15"
114,2024,12500,380000,91222,Reintegros ej.cerrados de Presidencia y Justicia,,,,"80.000,00","80.000,00"
115,2024,12500,380001,39040,Reintegros ej.cerrados de Hacienda y Admón Pública,,,,"6.693,68","6.693,68"
116,2024,12500,380001,91003,Reintegros ej.cerrados de Hacienda y Admón Pública,,,,"105.148,99","105.148,99"
117,2024,12500,380001,91019,Reintegros ej.cerrados de Hacienda y Admón Pública,,,,"-19.426,30","-23.335,09"
118,2024,12500,380002,32220,"Reintegros ej.cerrados de OP, Urb., Vivienda y Tte",,,,"335.976,55","335.976,55"
119,2024,12500,380002,39001,"Reintegros ej.cerrados de OP, Urb., Vivienda y Tte",,,,"-422.417,80","-422.417,80"
120,2024,12500,380002,39117,"Reintegros ej.cerrados de OP, Urb., Vivienda y Tte",,,,"409,67","409,67"
121,2024,12500,380002,39127,"Reintegros ej.cerrados de OP, Urb., Vivienda y Tte",,,,"33.067,53","33.067,53"
122,2024,12500,380002,39150,"Reintegros ej.cerrados de OP, Urb., Vivienda y Tte",,,,"3.980,00","3.980,00"
123,2024,12500,380002,91003,"Reintegros ej.cerrados de OP, Urb., Vivienda y Tte",,,,"217.175,41","214.695,36"
124,2024,12500,380002,91220,"Reintegros ej.cerrados de OP, Urb., Vivienda y Tte",,,,"335.976,54","335.976,54"
125,2024,12500,380003,12101,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",,,,"92.022,08","92.022,08"
126,2024,12500,380003,12202,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",,,,"11.935,79","11.935,79"
127,2024,12500,380003,32436,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",,,,"53.865,81","53.865,81"
128,2024,12500,380003,34046,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",,,,"502,94","502,94"
129,2024,12500,380003,34068,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",,,,"322.936,96","322.936,96"
130,2024,12500,380003,36004,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",,,,"1.726,22","1.726,22"
131,2024,12500,380003,91003,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",,,,"7.566,73","7.566,73"
132,2024,12500,380004,14201,Reintegros ej.cerrados de Industria e Innovación,,,,"12.658,00","12.658,00"
133,2024,12500,380004,14209,Reintegros ej.cerrados de Industria e Innovación,,,,"154.904,04","154.904,04"
134,2024,12500,380004,14210,Reintegros ej.cerrados de Industria e Innovación,,,,"57.863,50","52.243,10"
135,2024,12500,380004,32222,Reintegros ej.cerrados de Industria e Innovación,,,,"1.080,40","1.080,40"
136,2024,12500,380004,39103,Reintegros ej.cerrados de Industria e Innovación,,,,"5.238,50","5.238,50"
137,2024,12500,380004,39137,Reintegros ej.cerrados de Industria e Innovación,,,,"1.911,06","1.911,06"
138,2024,12500,380004,39413,Reintegros ej.cerrados de Industria e Innovación,,,,"3.110,91","3.110,91"
139,2024,12500,380004,91003,Reintegros ej.cerrados de Industria e Innovación,,,,"112.835,75","104.405,15"
140,2024,12500,380004,91222,Reintegros ej.cerrados de Industria e Innovación,,,,"1.080,40","1.080,40"
141,2024,12500,380005,91003,"Reintegros ej.cerrados de Sanidad, B. Social y Fam",,,,"1.558,09","1.558,09"
142,2024,12500,380006,14209,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",,,,"2.098,35","2.098,35"
143,2024,12500,380006,32220,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",,,,"63.009,44","63.009,44"
144,2024,12500,380006,39059,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",,,,"3.757,44","3.757,44"
145,2024,12500,380006,39135,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",,,,"33.897,61","33.897,61"
146,2024,12500,380006,91003,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",,,,"495.787,86","495.787,86"
147,2024,12500,380006,91220,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",,,,"63.009,43","63.009,43"
148,2024,12500,380007,32220,Reintegros ej.cerrados de Economía y Empleo,,,,"54.825,88","54.825,88"
149,2024,12500,380007,32221,Reintegros ej.cerrados de Economía y Empleo,,,,"446,95","446,95"
150,2024,12500,380007,32222,Reintegros ej.cerrados de Economía y Empleo,,,,"903,28","903,28"
151,2024,12500,380007,91003,Reintegros ej.cerrados de Economía y Empleo,,,,"156.738,40","156.738,40"
152,2024,12500,380007,91220,Reintegros ej.cerrados de Economía y Empleo,,,,"54.825,87","54.825,87"
153,2024,12500,380007,91221,Reintegros ej.cerrados de Economía y Empleo,,,,"446,94","446,94"
154,2024,12500,380007,91222,Reintegros ej.cerrados de Economía y Empleo,,,,"903,28","903,28"
155,2024,12500,380009,32435,"Reint. ejerc. cerrados Sanidad, B.Social y Familia",,"173.375,18","173.375,18","362.800,01","362.800,01"
156,2024,12500,380009,37001,"Reint. ejerc. cerrados Sanidad, B.Social y Familia",,"26.642,80","26.642,80","31.851,98","31.851,98"
157,2024,12500,380009,39407,"Reint. ejerc. cerrados Sanidad, B.Social y Familia",,,,"29.835,76","29.835,76"
158,2024,12500,380009,91003,"Reint. ejerc. cerrados Sanidad, B.Social y Familia",,,,"87.879,58","87.879,58"
159,2024,12500,380100,11201,Reintegros de ejercicios cerrados,,,,"18.395,67","18.395,67"
160,2024,12500,380100,91003,Reintegros de ejercicios cerrados,,,,"132.130,95","132.130,95"
161,2024,12500,381000,91003,Reintegros ej. corriente de Presidencia y Justicia,,,,"4.124,67","4.124,67"
162,2024,12500,381001,91003,Reintegros ej. corriente de Hacienda y Adm. Públic,,,,"48.016,54","38.737,87"
163,2024,12500,381001,91019,Reintegros ej. corriente de Hacienda y Adm. Públic,,,,"-2.403,85","-2.403,85"
164,2024,12500,381002,91003,"Reintegros ej. corriente de OOPP, Urb, Viv y Trans",,,,"231,11","231,11"
165,2024,12500,381003,12101,"Reintegros ej. corriente de Agricultura,Gan y M.Am",,,,"675.768,09","675.768,09"
166,2024,12500,381003,12202,"Reintegros ej. corriente de Agricultura,Gan y M.Am",,,,"121.013,59","121.013,59"
167,2024,12500,381003,12203,"Reintegros ej. corriente de Agricultura,Gan y M.Am",,,,"753,99","753,99"
168,2024,12500,381003,32436,"Reintegros ej. corriente de Agricultura,Gan y M.Am",,,,"22.249,80","22.249,80"
169,2024,12500,381003,34066,"Reintegros ej. corriente de Agricultura,Gan y M.Am",,,,"5.473,97","5.473,97"
170,2024,12500,381003,91003,"Reintegros ej. corriente de Agricultura,Gan y M.Am",,,,"72.948,36","72.948,36"
171,2024,12500,381004,32437,Reintegros ej. corriente de Industria e Innovación,,,,"16.820,02","16.820,02"
172,2024,12500,381006,91003,"Reintegros ej. corriente de Educ,Uni,Cult y Deport",,,,"113.501,77","113.501,77"
173,2024,12500,381007,32443,Reintegros ej. corriente de Economía y Empleo,,,,"1.578.000,00",
174,2024,12500,381007,91003,Reintegros ej. corriente de Economía y Empleo,,,,"30.567,61",800
175,2024,12500,381099,91003,Otros reintegros de Presupuesto corriente,,,,"730,87","730,87"
176,2024,12500,381101,91003,Reintegro Pagos Tesorería General Seguridad Social,,,,"1.366,53","1.366,53"
177,2024,12500,390000,91003,Costas por sentencias judiciales,"200.000,00",,"200.000,00","205.942,58","167.967,57"
178,2024,12500,390001,91003,Daños carreteras,,,,"20.841,77","2.880,28"
179,2024,12500,390003,91003,Aportaciones por gastos centralizados,,"43.862,57","43.862,57","43.862,57","43.862,57"
180,2024,12500,391000,91003,Daños en carreteras,"80.000,00",,"80.000,00","116.813,50","116.813,50"
181,2024,12500,393012,91003,Cursos y otros ingresos de P. Territorial e Interi,,"139.650,00","139.650,00","202.650,00","202.650,00"
182,2024,12500,395000,91003,Multas y sanciones de Presidencia y Justicia,,,,"22.300,00","21.300,00"
183,2024,12500,395001,91003,Multas y sanciones de Hacienda y Admón Pública,,,,"104.797,40",
184,2024,12500,395002,91003,"Multas y sanciones de Obras P., Urb., Viv. y Ttes.",,,,"3.316.784,07","2.766.580,07"
185,2024,12500,395003,91003,"Multas y sanciones de Agricultura, Ganad. y M.Amb.",,,,"8.434.269,95","688.751,60"
186,2024,12500,395004,91003,Multas y sanciones de Industria e Innovación,,,,"287.218,67","263.286,88"
187,2024,12500,395005,91003,"Multas y sanciones de Sanidad, B. Social y Familia","1.500.000,00",,"1.500.000,00","1.019.233,66","580.206,67"
188,2024,12500,395007,91003,Multas y sanciones de Economía y Empleo,"3.200.000,00",,"3.200.000,00","5.863.735,56","4.134.359,48"
189,2024,12500,395008,91003,Multas y sanciones Política Territorial e Interior,,,,"1.062,12","1.062,12"
190,2024,12500,395009,91003,SERVICIOS SOCIALES Y FAMILIA,,,,"10.530,00","10.530,00"
191,2024,12500,395100,91003,Multas y sanciones,"3.845.554,90",,"3.845.554,90",,
192,2024,12500,396000,91003,Ing.diversos.Rec eventuales.Presidencia y Justicia,,,,"319,24","319,24"
193,2024,12500,396001,91003,Ing.diversos.Rec eventuales.Hacienda y AP,,"468.024,56","468.024,56","468.024,59","468.024,59"
194,2024,12500,396002,91003,"Ing.diversos.Rec eventuales.OP,Urb,Viv y Transport",,,,"69.601,59","69.601,59"
195,2024,12500,396003,91003,"Ing.diversos.Rec eventuales.Agricultura,Gan y M Am",,,,"4.396,53",
196,2024,12500,396006,91003,"Ing.diversos.Rec eventuales.Educación,Univ,Cult,De",,,,"41.357,30","41.280,20"
197,2024,12500,396009,72013,"Indemnizaciones, incautaciones, penalidades, etc.",,,,"13.570,15","13.570,15"
198,2024,12500,396009,91003,"Indemnizaciones, incautaciones, penalidades, etc.",,,,"469.230,00","469.230,00"
199,2024,12500,396100,91003,Ingresos diversos. Recursos eventuales,"22.559,72",,"22.559,72",,
200,2024,12500,398001,91003,Recargo de apremio,,,,"58.912,55","48.935,04"
201,2024,12500,398002,91003,Intereses de demora,,,,"369.615,54","318.775,14"
202,2024,12500,398002,91019,Intereses de demora,,,,"55,17","-399,36"
203,2024,12500,400050,91003,Fondo Suficiencia Global,"358.556.830,20","-4.817.030,28","353.739.799,92","353.739.800,00","353.739.800,00"
204,2024,12500,400051,91003,Fondo de Garantía Servicios Públicos Fundamentales,"246.422.245,35","103.477.242,33","349.899.487,68","349.899.487,71","349.899.487,71"
205,2024,12500,400150,91003,FondoSuficiencia Global liquidación ej. anteriores,"-19.808.560,00","85.204.162,48","65.395.602,48","65.395.602,48","65.395.602,48"
206,2024,12500,400151,91003,Fondo de Garantía Serv Púb. Fund. Ejer. anteriores,"286.941.010,00","-286.941.010,00",0,,
207,2024,12500,400162,91003,Fondo Garantia Liquidación Ejercicios Anteriores,,"137.724.202,31","137.724.202,31","137.724.202,31","137.724.202,31"
208,2024,12500,400170,91003,Fondos de Convergencia Autonómica Ejerc. Anterior,"234.429.870,00","-3.503.998,98","230.925.871,02","230.925.871,02","230.925.871,02"
209,2024,12500,400402,91003,Cancelación Aticipos a Comunidades Autónomas,"-35.375.400,00",,"-35.375.400,00","-35.375.400,00","-35.375.400,00"
210,2024,12500,402003,39137,Bono Social Térmico,"3.100.000,00","8.668.219,75","11.768.219,75","10.654.746,24","10.654.746,24"
211,2024,12500,403004,91003,Estadística agraria,"71.406,13",,"71.406,13","71.406,13","71.406,13"
212,2024,12500,403006,34066,AGE PDR,"2.374.419,34",,"2.374.419,34","2.070.931,39","2.070.931,39"
213,2024,12500,403099,34011,"Otras subvenciones de Agricultura, Gan. y M.A.","180.000,00",,"180.000,00","151.743,79","151.743,79"
214,2024,12500,403099,34015,"Otras subvenciones de Agricultura, Gan. y M.A.","355.651,93",,"355.651,93",,
215,2024,12500,403099,34017,"Otras subvenciones de Agricultura, Gan. y M.A.","388.522,65",,"388.522,65",,
216,2024,12500,403099,34021,"Otras subvenciones de Agricultura, Gan. y M.A.","325.500,00",,"325.500,00",,
217,2024,12500,403099,36006,"Otras subvenciones de Agricultura, Gan. y M.A.","383.328,00",,"383.328,00",,
218,2024,12500,403099,36014,"Otras subvenciones de Agricultura, Gan. y M.A.","125.531,71",,"125.531,71",,
219,2024,12500,404005,35012,Plan de desarrollo gitano,"51.600,00",,"51.600,00","51.600,00","51.600,00"
220,2024,12500,404006,35013,Prestaciones básicas de Servicios Sociales,"3.635.318,02",,"3.635.318,02","3.635.318,02","3.635.318,02"
221,2024,12500,404009,35014,Erradicación de la pobreza,"657.292,00",,"657.292,00","2.311.545,99","2.311.545,99"
222,2024,12500,404021,39054,Víctimas violencia de género,"300.000,00",,"300.000,00","86.400,00","86.400,00"
223,2024,12500,404021,39092,Víctimas violencia de género,"373.400,00","628.344,96","1.001.744,96","660.510,19","660.510,19"
224,2024,12500,404021,39135,Víctimas violencia de género,"2.827.906,68","3.230.056,06","6.057.962,74","6.066.962,74","6.066.962,74"
225,2024,12500,404022,35017,Plan Corresponsables-CS Igualdad,,"10.521.173,49","10.521.173,49","10.457.411,73","10.457.411,73"
226,2024,12500,404023,35018,Programa refuerzo antención primaria social,"810.500,00",,"810.500,00","810.500,00","810.500,00"
227,2024,12500,404099,37001,Otras subv. Empleo y de Servicios Sociales,"9.612.607,18","985.292,24","10.597.899,42","10.597.899,42","10.597.899,42"
228,2024,12500,405001,39015,Fomento de la donación y trasplante de órganos,"63.000,00",,"63.000,00","44.765,36","44.765,36"
229,2024,12500,405003,39018,Actuaciones en drogodependencias,"472.000,00","224.096,22","696.096,22","696.096,22","696.096,22"
230,2024,12500,405004,39129,Prevención de enfermedades emergentes,,,,"83.653,84","83.653,84"
231,2024,12500,405005,39016,Junta Arbitral de Consumo,"65.933,29",,"65.933,29","65.562,98","65.562,98"
232,2024,12500,405006,39027,Políticas de cohesión y estrategias de salud,"383.000,00","2.183.945,85","2.566.945,85","2.276.451,00","2.276.451,00"
233,2024,12500,405006,39088,Políticas de cohesión y estrategias de salud,"5.000,00",,"5.000,00",,
234,2024,12500,405007,39049,Form.Cont.Uso racional del medicamento para médic.,"750.000,00","425.690,94","1.175.690,94","1.175.690,94","1.175.690,94"
