_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D. Rec. Netos,Recaudado Neto
60,2013,12500,329006,91003,Tasa 06- Act. en materia de vivienda protegida,45000,0,45000,2286.32,2286.32
61,2013,12500,329007,91003,Tasa 07-Serv. Exped. cédula habitabilidad,4000,0,4000,30351.42,30351.42
62,2013,12500,329009,91003,Tasa 09-S. facult. ord. y def. de las ind for. ag.,0,0,0,16998.11,16998.11
63,2013,12500,329010,91003,Tasa 10-S. facultativos agronómicos,10000,0,10000,202929.35,202911.35
64,2013,12500,329011,91003,Tasa 11-Servicios  facultativos veterinarios,600000,0,600000,685793.47,685739.93
65,2013,12500,329012,91003,Tasa 12-Ins. y ctroles sanitarios  anim y sus prod,3600,0,3600,202189.15,202189.15
66,2013,12500,329013,91003,"Tasa 13-Aut., Inspec., materia centros sanitarios",120000,0,120000,203867.4,203867.4
67,2013,12500,329014,91003,Tasa 14-Ord. activ. indust. energ. metrol. mineras,2380666,0,2380666,1849836.7,1734491.07
68,2013,12500,329015,91003,Tasa 15-Serv. exped. titulos académicos y profesio,587000,0,587000,718186.89,718186.89
69,2013,12500,329016,91003,Tasa 16-Expedición licencias caza y pesca,0,0,0,36001.36,36001.36
70,2013,12500,329017,91003,"Tasa 17-S. facul. montes, forestales y v. pecuaria",400000,0,400000,422548.57,381023.46
71,2013,12500,329019,91003,Tasa 19-S. Adtvod y Técnicos de juego,500000,0,500000,864653.79,864653.79
72,2013,12500,329020,91003,"Tasa 20-Aut, Insp y actu. cen y est. farmaceúticos",50000,0,50000,39357.55,39357.55
73,2013,12500,329021,91003,Tasa 21-Aut. Insp. centros Servicios Sociales,20000,0,20000,22893.32,22893.32
74,2013,12500,329022,91003,Tasa 22-Inserción anuncios en el BOA,776157.99,0,776157.99,310754.99,310754.99
75,2013,12500,329023,91003,"Tasa 23-Inscripción y Publicidad Asoc,Fun,CP y CCA",29060,0,29060,35718.12,35718.12
76,2013,12500,329024,91003,Tasa 24-Derechos Examen pruebas selectiva C.Aut.,0,0,0,97385.52,97385.52
77,2013,12500,329025,91003,Tasa 25-S. Registro Territorial P.Intelectual de A,9500,0,9500,10070.72,9800.16
78,2013,12500,329027,91003,Tasa 27-Acreditación laborat. ctrol calidad edific,0,0,0,639.02,639.02
79,2013,12500,329030,91003,Tasa 30-Tasa inscripción Reg. de org. modif. genét,12000,0,12000,2124.74,2124.74
80,2013,12500,329032,91003,Tasa 32-Tasa act. serv. radiodifusión y televisión,0,0,0,4077.63,4077.63
81,2013,12500,329033,91003,Tasa 33-Tasa por ocup. v.pecuar. y conc.uso dom.p.,0,0,0,205029.37,191778.26
82,2013,12500,329037,91003,Tasa 37-Tasa dchos. de exam. pruebas de acceso FP,185400,0,185400,90655.11,90655.11
83,2013,12500,329038,91003,Tasa 38- S. admtvos diligencias bastanteo de poder,5400,0,5400,11304.33,11304.33
84,2013,12500,329039,91003,Tasa39-Insc pruebas obt. tit. postobligatorios,133200,0,133200,154764.09,154764.09
85,2013,12500,329040,91003,Tasa 40-Tasa s. adm actuaciones gestión tributaria,0,0,0,42256.56,42256.46
86,2013,12500,330000,91003,Precios Públicos del Laboratorio Agroalimentario,26000,0,26000,69118.01,63728.98
87,2013,12500,330001,91003,Precios Públicos del C. Transferencia Agroalimenta,0,0,0,180,120
88,2013,12500,330004,91003,Precios Públicos del Laboratorio Calidad Edificaci,0,0,0,7084.93,6043.6
89,2013,12500,330005,91003,Precios Públicos en materia de deportes,0,0,0,8587,6892
90,2013,12500,330006,91003,Instalaciones deportivas,166000,0,166000,57924.85,57924.85
91,2013,12500,330007,91003,Actividades Deportivas,33800,0,33800,0,0
92,2013,12500,335000,91003,P. Públicos del Laboratorio de Calidad de la Edif.,20600,0,20600,0,0
93,2013,12500,370000,91003,Casinos,2400000,0,2400000,0,0
94,2013,12500,370001,91003,Bingos,18800000,0,18800000,0,0
95,2013,12500,370002,91003,Máquinas recreativas,23500000,0,23500000,0,0
96,2013,12500,370003,91003,"Loterías,rifas,boletos y combinaciones aleatorias",15000,0,15000,0,0
97,2013,12500,380000,91003,Reintegros ej.cerrados de Presidencia y Justicia,0,0,0,180388.79,180388.79
98,2013,12500,380001,91003,Reintegros ej.cerrados de Hacienda y Admón Pública,0,0,0,17830.77,17830.77
99,2013,12500,380002,39001,"Reintegros ej.cerrados de OP, Urb., Vivienda y Tte",0,0,0,2398.68,2398.68
100,2013,12500,380002,91003,"Reintegros ej.cerrados de OP, Urb., Vivienda y Tte",0,0,0,516417.22,349953.99
101,2013,12500,380003,34005,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",0,0,0,74.24,74.24
102,2013,12500,380003,34020,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",0,0,0,185.24,185.24
103,2013,12500,380003,34037,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",0,0,0,9618.55,9618.55
104,2013,12500,380003,91003,"Reintegros ej.cer de Agricultura, Ganadería y M.Am",0,0,0,57849.79,57849.79
105,2013,12500,380004,14101,Reintegros ej.cerrados de Industria e Innovación,0,0,0,2140,2140
106,2013,12500,380004,39004,Reintegros ej.cerrados de Industria e Innovación,0,0,0,3653.25,3653.25
107,2013,12500,380004,39013,Reintegros ej.cerrados de Industria e Innovación,0,0,0,4151.92,4151.92
108,2013,12500,380004,39050,Reintegros ej.cerrados de Industria e Innovación,0,0,0,-13882.17,-13882.17
109,2013,12500,380004,39103,Reintegros ej.cerrados de Industria e Innovación,0,0,0,18203.31,18203.31
110,2013,12500,380004,91003,Reintegros ej.cerrados de Industria e Innovación,0,0,0,210841.76,210841.76
111,2013,12500,380005,91003,"Reintegros ej.cerrados de Sanidad, B. Social y Fam",0,0,0,9489.98,9489.98
112,2013,12500,380006,11101,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",0,0,0,468.42,468.42
113,2013,12500,380006,39047,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",0,0,0,68,68
114,2013,12500,380006,39062,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",0,0,0,410,410
115,2013,12500,380006,39081,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",0,0,0,34618.59,34618.59
116,2013,12500,380006,91003,"Reintegros ej.cerrados de Educ., Univ., Cult. y D",0,0,0,118793.12,118793.12
117,2013,12500,380007,91003,Reintegros ej.cerrados de Economía y Empleo,0,0,0,697395.24,697395.24
118,2013,12500,380008,91003,Reintegros ej.cerrados de P.Territorial e I,0,0,0,13132.15,13132.15
119,2013,12500,380100,91003,Reintegros de ejercicios cerrados,3600000,0,3600000,0,0
120,2013,12500,381000,39103,Reintegros ej. corriente de Presidencia y Justicia,0,0,0,0,0
121,2013,12500,381000,91003,Reintegros ej. corriente de Presidencia y Justicia,0,0,0,10746.63,10746.63
122,2013,12500,381001,91003,Reintegros ej. corriente de Hacienda y Adm. Públic,0,61900.85,61900.85,63127.23,63127.23
123,2013,12500,381002,91003,"Reintegros ej. corriente de OOPP, Urb, Viv y Trans",0,0,0,6573.84,6573.84
124,2013,12500,381003,34004,"Reintegros ej. corriente de Agricultura,Gan y M.Am",0,0,0,0,0
125,2013,12500,381003,91003,"Reintegros ej. corriente de Agricultura,Gan y M.Am",0,0,0,168470.42,168470.42
126,2013,12500,381004,91003,Reintegros ej. corriente de Industria e Innovación,0,0,0,574.95,574.95
127,2013,12500,381005,91003,"Reintegros ej. corriente de Sanidad, B Social y Fa",0,0,0,106255.48,106255.48
128,2013,12500,381006,11101,"Reintegros ej. corriente de Educ,Uni,Cult y Deport",0,0,0,1225,1225
129,2013,12500,381006,91003,"Reintegros ej. corriente de Educ,Uni,Cult y Deport",0,0,0,181190.05,181190.05
130,2013,12500,381007,91003,Reintegros ej. corriente de Economía y Empleo,0,0,0,138.25,138.25
131,2013,12500,381008,91003,Reintegros ej.corriente de P.Territorial e Interio,0,0,0,120.61,120.61
132,2013,12500,381098,91003,Reintegros de pagos a justificar,0,0,0,7764.2,7764.2
133,2013,12500,381099,91003,Otros reintegros de Presupuesto corriente,0,0,0,-6000000,-6000000
134,2013,12500,390000,91003,Costas por sentencias judiciales,0,0,0,139106.6,100824.36
135,2013,12500,390001,91003,Daños carreteras,110000,0,110000,75454.9,50604.53
136,2013,12500,393012,91003,Cursos y otros ingresos de P. Territorial e Interi,0,94000,94000,94000,94000
137,2013,12500,395000,91003,Multas y sanciones de Presidencia y Justicia,0,0,0,16468.87,2018.87
138,2013,12500,395001,91003,Multas y sanciones de Hacienda y Admón Pública,0,0,0,64028.91,50093.24
139,2013,12500,395002,91003,"Multas y sanciones de Obras P., Urb., Viv. y Ttes.",0,0,0,6256240.83,3702341.72
140,2013,12500,395003,91003,"Multas y sanciones de Agricultura, Ganad. y M.Amb.",0,0,0,1266334.99,597295.36
141,2013,12500,395004,91003,Multas y sanciones de Industria e Innovación,0,0,0,70993.31,13993.21
142,2013,12500,395005,91003,"Multas y sanciones de Sanidad, B. Social y Familia",0,0,0,848831.07,227282.23
143,2013,12500,395007,91003,Multas y sanciones de Economía y Empleo,0,0,0,2784652.88,1294225.52
144,2013,12500,395008,91003,Multas y sanciones Política Territorial e Interior,18000,0,18000,51089.71,50786.71
145,2013,12500,395009,91003,SERVICIOS SOCIALES Y FAMILIA,0,0,0,1669.5,1669.5
146,2013,12500,395099,91003,Otras multas y sanciones,5000000,0,5000000,0,0
147,2013,12500,395100,91003,Multas y sanciones,8328500,0,8328500,0,0
148,2013,12500,396000,91003,Ing.diversos.Rec eventuales.Presidencia y Justicia,0,0,0,7134.67,7134.67
149,2013,12500,396001,91003,Ing.diversos.Rec eventuales.Hacienda y AP,0,0,0,40594.98,40594.98
150,2013,12500,396002,91003,"Ing.diversos.Rec eventuales.OP,Urb,Viv y Transport",0,0,0,3133.94,3133.94
151,2013,12500,396003,91003,"Ing.diversos.Rec eventuales.Agricultura,Gan y M Am",0,0,0,5706.6,5706.6
152,2013,12500,396004,91003,Ing.diversos.Rec eventuales.Industria e Innovación,0,0,0,120,120
153,2013,12500,396006,91003,"Ing.diversos.Rec eventuales.Educación,Univ,Cult,De",0,0,0,239269.78,239107.57
154,2013,12500,396008,91003,Ing.diversos Rec eventuales P. Territorial e Inter,0,0,0,988.77,988.77
155,2013,12500,396100,91003,Ingresos diversos. Recursos eventuales,340590.21,0,340590.21,15728.94,15728.94
156,2013,12500,398001,91003,Recargo de apremio,0,0,0,6920.27,5265.87
157,2013,12500,398002,91003,Intereses de demora,0,0,0,84485.47,57255.82
158,2013,12500,400012,91003,Fondo Suficiencia - Ejercicio 2008,0,0,0,-14194050.66,-14194050.66
159,2013,12500,400022,91003,Fondo de Suficiencia - Ejercicio 2009,0,0,0,-31748645.19,-31748645.19
160,2013,12500,400024,91003,Compensación Patrimonio - Ejercicio 2011,0,0,0,-529536.98,-529536.98
161,2013,12500,400025,91003,Fondos Adicionales Finan Autonómica Ejercicio 2009,0,0,0,-1048373.07,-1048373.07
162,2013,12500,400032,91003,Fondo de Suficiencia - Ejercicio 2011,0,0,0,-31204262.43,-31204262.43
163,2013,12500,400040,91003,Fondos de Cohesión Sanitaria - Ejercicio 2011,0,0,0,15447,15447
164,2013,12500,400050,91003,Fondo Suficiencia Global,252357000,0,252357000,298652350,298652350
165,2013,12500,400051,91003,Fondo de Garantía Servicios Públicos Fundamentales,58390000,0,58390000,58390807.08,58390807.08
166,2013,12500,400151,91003,Fondo de Garantía Serv Púb. Fund.-Ejercicio 2011,52170000,0,52170000,59760295.96,59760295.96
167,2013,12500,400152,91003,Fondo Cooperación Liquidación Ejercicio 2011,66980000,0,66980000,145805166.64,145805166.64
168,2013,12500,403000,34001,Ayudas complementarias a la Política Agraria Común,740000,0,740000,260453,260453
169,2013,12500,403004,91003,Estadística agraria,52016.7,0,52016.7,52016.7,36411.69
170,2013,12500,403099,34011,Otras subvenciones de Agricultura y Alimentación,240000,0,240000,172041,172041
171,2013,12500,403099,34045,Otras subvenciones de Agricultura y Alimentación,46500,0,46500,0,0
172,2013,12500,404000,39005,Ayudas a jubilación y reestructuración de empresas,64710,0,64710,0,0
173,2013,12500,404003,35005,Pensiones a ancianos y enfermos,52500,0,52500,41960.8,41960.8
174,2013,12500,404005,91003,Plan de desarrollo gitano,0,0,0,8460.99,8460.99
175,2013,12500,404006,91003,Prestaciones básicas de Servicios Sociales,0,0,0,949192.74,949192.74
176,2013,12500,404020,91003,Plan Acción a favor de pers. situación dependencia,30000000,0,30000000,0,0
177,2013,12500,404021,39054,Víctimas violencia de género,100000,0,100000,140582.55,140582.55
178,2013,12500,404021,39092,Víctimas violencia de género,219823,0,219823,166224.74,166224.74
179,2013,12500,405001,39015,Fomento de la donación y trasplante de órganos,76738.27,0,76738.27,64795.74,64795.74
180,2013,12500,405002,39017,Prevención del S.I.D.A.,141258.6,0,141258.6,0,0
181,2013,12500,405003,39018,Actuaciones en drogodependencias,756810.47,0,756810.47,471897.65,471897.65
182,2013,12500,405004,39019,Prevención de enfermedades emergentes,64032.53,0,64032.53,9292,0
183,2013,12500,405005,39016,Junta Arbitral de Consumo,17389.59,0,17389.59,0,0
184,2013,12500,405006,39027,Políticas de cohesión y estrategias de salud,542856.6,0,542856.6,0,0
185,2013,12500,405007,39049,Form.Cont.Uso racional del medicamento para médic.,504179.69,0,504179.69,0,0
186,2013,12500,406099,39109,Otras subvenciones en materia de Justicia,0,0,0,43413.55,43413.55
187,2013,12500,407003,39108,Funcionamiento de centros docentes,0,0,0,731509.11,0
188,2013,12500,407004,39064,Confederaciones de A.P.A.S. y colectivos,0,0,0,7379.19,0
189,2013,12500,407005,39021,Jubilaciones de personal docente (D.T. 9ª LOGSE),0,0,0,2078.77,2078.77
190,2013,12500,407006,39037,MEC - Plan nacional de investigación,0,260000,260000,520000,260000
191,2013,12500,407008,39059,Subvenciones Educación y Ciencia,0,0,0,232381.11,0
192,2013,12500,407008,39068,Subvenciones Educación y Ciencia,39110.86,0,39110.86,39110.86,0
193,2013,12500,407010,39024,Escuelas viajeras,92116.6,0,92116.6,0,0
194,2013,12500,407013,39025,"Plan rest,utiliz. Educat. pueblos abandon.:Bubal",24780,0,24780,24780,0
195,2013,12500,407014,39033,Rutas literarias,35081,0,35081,3272,0
196,2013,12500,407099,14102,"Otras subvenciones  Educación, Cultura y Deporte",30875,0,30875,0,0
197,2013,12500,409009,39071,Otras subvenciones de Administraciones Públicas,0,0,0,652331.73,382829.98
198,2013,12500,409009,39107,Otras subvenciones de Administraciones Públicas,0,0,0,1338.94,0
199,2013,12500,409009,39116,Otras subvenciones de Administraciones Públicas,0,1031.04,1031.04,1031.04,1031.04
200,2013,12500,412001,55001,Escuelas Taller,113503.53,0,113503.53,-15261.53,-15261.53
201,2013,12500,416009,39016,Otras subvenciones Instituto Nacional de Consumo,0,0,0,15491.77,15491.77
202,2013,12500,419000,39042,Centro Superior Deportes: Fomento actividad depor.,0,0,0,39214,39214
203,2013,12500,419007,39040,Instituto Nacional de Administración Pública INAP,0,783850,783850,783850,783850
204,2013,12500,419010,39104,Programas Educativos Europeos,0,0,0,4329.45,4329.45
205,2013,12500,420000,91003,"Fondo programa de ""Ahorro e incapacidad temporal""",9430933.87,0,9430933.87,10300101.87,10300101.87
206,2013,12500,420001,91003,Compens. asistencia sanitaria conting. prof.,1631461.39,0,1631461.39,0,0
207,2013,12500,421001,35011,Plan Acción a favor de pers. situación dependencia,0,0,0,25627087.01,22946313.26
208,2013,12500,421001,91003,Plan Acción a favor de pers. situación dependencia,5000000,0,5000000,0,0
209,2013,12500,440001,39050,De IDAE para el  fomento ahorro energético,400000,0,400000,0,0
210,2013,12500,460002,51005,Transf. de la Diputación Provincial de Teruel,0,50000,50000,50000,0
211,2013,12500,460009,91003,Otras subvenciones de Diputaciones Provinciales,0,0,0,18000,18000
212,2013,12500,492002,14102,F.E.D.ER- Acciones innovadoras,0,0,0,33903.23,33903.23
213,2013,12500,492100,14101,Programa Operativo FEDER 2007-2013,314984.6,0,314984.6,0,0
214,2013,12500,492100,14105,Programa Operativo FEDER 2007-2013,0,0,0,950.67,950.67
215,2013,12500,493000,11101,Fondo Social Europeo- Objetivo 3,553357.85,0,553357.85,0,0
216,2013,12500,493100,11101,Fondo Social Europeo- Programa Operativo 2007-2013,11009075.45,0,11009075.45,0,0
217,2013,12500,496000,12101,Agricultura -Política Agraria Común,440894119.94,10442813.37,451336933.31,437336965.2,437336927.76
218,2013,12500,496009,12101,Agricultura- Otras subvenciones corrientes,110000,0,110000,98732.44,98732.44
219,2013,12500,497000,12102,Fondo Europeo Agrícola de Desarrollo Rural,509167,0,509167,521273.87,251868.8
220,2013,12500,499000,19001,Punto de Información Europea,25000,0,25000,25000,25000
221,2013,12500,499099,19004,Otras subvenciones del exterior,652949.5,0,652949.5,0,0
222,2013,12500,512000,91003,Intereses de Avales Otorgados,0,0,0,1412102.22,1412102.22
223,2013,12500,520000,91003,Intereses,4500000,0,4500000,9788386.75,9363265.47
224,2013,12500,520002,91003,Intereses vivienda,0,0,0,11952.08,11952.08
225,2013,12500,520010,91003,Intereses SWAP,0,0,0,174343,174343
226,2013,12500,520050,91003,De las Cortes de Aragón,48000,0,48000,16500,16500
227,2013,12500,521000,91003,Intereses de emisión de deuda,0,0,0,463399.4,463399.4
228,2013,12500,540001,91003,Renta de Inmuebles,0,0,0,611993.8,399549.85
229,2013,12500,540008,91003,Arrendamientos de locales,3000,0,3000,1948.77,1667.7
230,2013,12500,540009,91003,Alquileres de viviendas,360000,0,360000,156769.26,138401.31
231,2013,12500,550001,91003,Cánones de concesiones,4800000,0,4800000,2085904.84,1644245.55
232,2013,12500,551000,91003,Ingresos de productos,0,0,0,1242,1242
233,2013,12500,552003,91003,De protección y gestión de los montes,600000,0,600000,864154.71,597036.38
234,2013,12500,552004,91003,De tecnología agraria,0,0,0,360,360
235,2013,12500,552006,91003,Reservas nacionales caza,0,0,0,178717.67,164352.34
236,2013,12500,552007,91003,10% Fondo mejoras forestales,0,0,0,123199.78,112314.44
237,2013,12500,552008,91003,Permisos de caza en cotos sociales,0,0,0,5489,1122
238,2013,12500,552009,91003,Otros aprovechamientos,0,0,0,32963.29,32963.29
239,2013,12500,553000,91003,Cánones de I.T.V. privadas,4504966,0,4504966,4568862.93,2535150.94
240,2013,12500,553003,91003,"De Educación, Universidad, Cultura y Deporte",0,0,0,16928.5,16928.5
241,2013,12500,553009,91003,Otros cánones,0,0,0,179358.97,163182.3
242,2013,12500,559009,91003,Otros aprovechamientos,0,0,0,147338.3,145297.27
243,2013,12500,590000,91003,Ingresos por viviendas de promoción pública,2200000,0,2200000,1798537.97,1679177.17
244,2013,12500,600000,91003,Venta de terrenos,800000,0,800000,0,0
245,2013,12500,600001,91003,"De Economía, Hacienda y Empleo",0,0,0,9665.28,9665.28
246,2013,12500,610000,91003,Venta de inversiones reales- Varios,200000,0,200000,436424.09,436424.09
247,2013,12500,620000,91003,Venta de inmuebles,11000000,0,11000000,0,0
248,2013,12500,702001,36004,Acciones prioritarias: incendios forestales,2357694,0,2357694,2353369.52,1357797.44
249,2013,12500,702005,39077,Convenio Ciclo Integral del Agua,8653546.72,0,8653546.72,8653546.72,8653546.72
250,2013,12500,702006,39032,Convenio protección recursos barranco de Bailín,673918,0,673918,0,0
251,2013,12500,702009,36001,Otras subvenciones en materia de Medio Ambiente,645000,0,645000,654860.55,115743.57
252,2013,12500,702009,36006,Otras subvenciones en materia de Medio Ambiente,8500,0,8500,0,0
253,2013,12500,703009,39116,Otras subvenciones de Economía y Hacienda,0,21552.72,21552.72,21552.72,21552.72
254,2013,12500,704002,39001,Plan de vivienda,2474630,0,2474630,2474630,2474630
255,2013,12500,705006,34013,Campañas de sanidad animal,150000,0,150000,0,0
256,2013,12500,705006,34014,Campañas de sanidad animal,800000,0,800000,0,0
257,2013,12500,705006,34021,Campañas de sanidad animal,1000000,0,1000000,257423,257423
258,2013,12500,705006,34058,Campañas de sanidad animal,0,0,0,112500,112500
259,2013,12500,705007,34025,Agrupación Defensa Sanitaria,1000,0,1000,0,0
260,2013,12500,705008,34006,Apicultura,100000,0,100000,118766,118766
261,2013,12500,705009,34005,Otras subvenciones de capital,1600000,0,1600000,1026931,1026931
262,2013,12500,705009,34020,Otras subvenciones de capital,900000,0,900000,409775,409775
263,2013,12500,705009,34024,Otras subvenciones de capital,75000,0,75000,0,0
264,2013,12500,705009,34044,Otras subvenciones de capital,1475000,0,1475000,2506889.22,912200.3
265,2013,12500,705009,34046,Otras subvenciones de capital,1219008.26,0,1219008.26,377435.5,0
266,2013,12500,705009,34047,Otras subvenciones de capital,1250000,0,1250000,1250421.46,106109.74
267,2013,12500,705009,34050,Otras subvenciones de capital,600000,0,600000,207572.21,207572.21
268,2013,12500,705009,34051,Otras subvenciones de capital,900000,0,900000,0,0
269,2013,12500,705009,34054,Otras subvenciones de capital,300000,0,300000,0,0
270,2013,12500,705009,34056,Otras subvenciones de capital,3379.53,0,3379.53,0,0
271,2013,12500,705010,34026,Agrup.Tratam. Integrado Agricultura (ATRIAS),200000,0,200000,0,0
272,2013,12500,705011,34019,Calidad de la carne,100000,0,100000,0,0
273,2013,12500,705013,34015,Semillas y plantas de viveros,115000,0,115000,115995,115995
274,2013,12500,705014,34007,Industrias Agrarias,1750000,0,1750000,1990895.25,994401.49
275,2013,12500,705015,34043,Modernización de explotaciones,4130000,0,4130000,3127346.87,1661288.87
276,2013,12500,705017,34017,Lucha contra agentes nocivos,595000,0,595000,550037,550037
277,2013,12500,705017,34018,Lucha contra agentes nocivos,125000,0,125000,125000,125000
278,2013,12500,705018,34023,Control lechero,70000,0,70000,500,500
279,2013,12500,705021,34004,Agroambientales,4487000,0,4487000,4482822.59,4166081.87
